Operator,Indoor_Outdoor_Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
BSNL,Indoor,2G,2,Satisfactory,11.7628965,76.0026714,Kerala
RJio,Indoor,4G,4,Satisfactory,23.22748909,77.43089188,Madhya Pradesh
BSNL,Indoor,2G,2,Call Dropped,-1,-1,
Vodafone,Indoor,4G,4,Satisfactory,26.884158,80.9935579,Uttar Pradesh
Vodafone,Indoor,4G,4,Satisfactory,26.884158,80.9935579,Uttar Pradesh
Vodafone,Indoor,4G,4,Satisfactory,26.88411118,80.99353352,Uttar Pradesh
Vodafone,Indoor,4G,3,Poor Network,26.8840511,80.9933889,Uttar Pradesh
Vodafone,Indoor,4G,1,Call Dropped,26.8841757,80.993573,Uttar Pradesh
Vodafone,Indoor,4G,2,Call Dropped,26.8842634,80.9936991,Uttar Pradesh
Airtel,Indoor,Unknown,1,Poor Network,18.603763,73.76088367,Maharashtra
Airtel,Travelling,4G,5,Satisfactory,12.97284853,77.59376291,Karnataka
RJio,Indoor,4G,4,Satisfactory,-1,-1,
RJio,Indoor,4G,5,Satisfactory,-1,-1,
Idea,Indoor,Unknown,4,Satisfactory,18.51993931,73.85744238,Maharashtra
Idea,Indoor,Unknown,4,Satisfactory,18.51993931,73.85744238,Maharashtra
Vodafone,Indoor,4G,4,Satisfactory,19.2994754,72.8514789,Maharashtra
RJio,Indoor,4G,4,Satisfactory,-1,-1,
RJio,Indoor,4G,4,Satisfactory,-1,-1,
BSNL,Indoor,3G,2,Call Dropped,30.70326607,76.70845619,Punjab
Idea,Outdoor,3G,1,Poor Network,-1,-1,
Idea,Outdoor,3G,1,Poor Network,-1,-1,
Idea,Outdoor,3G,1,Poor Network,-1,-1,
Idea,Outdoor,3G,1,Poor Network,-1,-1,
Airtel,Indoor,3G,3,Poor Network,-1,-1,
Airtel,Travelling,3G,3,Poor Network,23.049745,72.51489167,Gujarat
Airtel,Travelling,4G,3,Poor Network,23.049745,72.51489167,Gujarat
Airtel,Travelling,4G,3,Poor Network,23.049745,72.51489167,Gujarat
Airtel,Travelling,4G,3,Poor Network,23.049745,72.51489167,Gujarat
Airtel,Travelling,4G,3,Poor Network,23.049745,72.51489167,Gujarat
Airtel,Travelling,3G,3,Poor Network,-1,-1,
Airtel,Travelling,3G,3,Poor Network,-1,-1,
Airtel,Travelling,2G,3,Poor Network,-1,-1,
Airtel,Travelling,3G,3,Poor Network,-1,-1,
Airtel,Travelling,4G,3,Poor Network,-1,-1,
Airtel,Travelling,3G,3,Poor Network,-1,-1,
Airtel,Travelling,3G,3,Poor Network,-1,-1,
Airtel,Travelling,4G,1,Call Dropped,-1,-1,
Airtel,Indoor,3G,4,Satisfactory,-1,-1,
RJio,Indoor,4G,4,Satisfactory,23.22748909,77.43089188,Madhya Pradesh
Airtel,Indoor,3G,2,Satisfactory,19.29554167,72.85791833,Maharashtra
Airtel,Indoor,4G,4,Satisfactory,23.2651608,77.4254149,Madhya Pradesh
Airtel,Indoor,3G,4,Satisfactory,-1,-1,
RJio,Indoor,4G,3,Satisfactory,-1,-1,
Vodafone,Indoor,2G,2,Poor Network,-1,-1,
Vodafone,Indoor,Unknown,4,Satisfactory,32.6975025,74.8799602,Kashmir
Vodafone,Outdoor,Unknown,4,Satisfactory,12.36473593,76.66148096,Karnataka
RJio,Indoor,4G,4,Satisfactory,-1,-1,
RJio,Indoor,4G,4,Satisfactory,-1,-1,
Airtel,Travelling,3G,1,Call Dropped,23.23531059,72.63008391,Gujarat
RJio,Indoor,4G,4,Satisfactory,23.22748909,77.43089188,Madhya Pradesh
RJio,Outdoor,4G,3,Satisfactory,19.04388324,72.86393624,Maharashtra
RJio,Travelling,4G,4,Satisfactory,19.04569136,72.91329068,Maharashtra
RJio,Travelling,4G,3,Satisfactory,18.73574997,73.45266351,Maharashtra
RJio,Travelling,4G,3,Satisfactory,18.7290693,73.85510098,Maharashtra
RJio,Travelling,4G,3,Satisfactory,18.76784395,73.86566098,Maharashtra
RJio,Travelling,4G,4,Satisfactory,18.82661096,74.02481133,Maharashtra
RJio,Travelling,4G,2,Poor Network,18.82661096,74.02481133,Maharashtra
RJio,Travelling,4G,3,Satisfactory,18.82661096,74.02481133,Maharashtra
RJio,Indoor,4G,3,Satisfactory,19.04536616,72.86366399,Maharashtra
RJio,Indoor,4G,4,Satisfactory,19.04536616,72.86366399,Maharashtra
Vodafone,Outdoor,3G,1,Poor Network,19.78204146,75.19982819,Maharashtra
RJio,Travelling,4G,5,Satisfactory,19.10042802,72.84696801,Maharashtra
Idea,Travelling,Unknown,5,Satisfactory,16.39661667,74.19082833,Maharashtra
Idea,Indoor,Unknown,5,Satisfactory,23.109895,72.58539333,Gujarat
Idea,Indoor,Unknown,5,Satisfactory,13.328295,75.794805,Karnataka
Idea,Indoor,Unknown,5,Satisfactory,-1,-1,
Idea,Travelling,Unknown,5,Satisfactory,-1,-1,
RJio,Indoor,4G,4,Satisfactory,23.2505084,77.4140526,Madhya Pradesh
RJio,Indoor,4G,4,Satisfactory,23.2505084,77.4140526,Madhya Pradesh
Vodafone,Outdoor,Unknown,4,Satisfactory,27.18648375,88.49905034,Sikkim
Vodafone,Outdoor,3G,1,Call Dropped,27.18648375,88.49905034,Sikkim
Vodafone,Outdoor,2G,4,Satisfactory,27.18648375,88.49905034,Sikkim
Vodafone,Outdoor,3G,4,Satisfactory,13.1726477,77.6727607,Karnataka
Vodafone,Outdoor,3G,4,Satisfactory,12.99600071,77.66493518,Karnataka
Vodafone,Outdoor,3G,4,Satisfactory,12.87420407,77.64114926,Karnataka
Airtel,Indoor,3G,4,Satisfactory,-1,-1,
Vodafone,Travelling,3G,2,Poor Network,19.1249587,72.83580366,Maharashtra
Vodafone,Outdoor,3G,1,Call Dropped,19.12585631,72.8276934,Maharashtra
Airtel,Outdoor,Unknown,1,Call Dropped,28.5516714,77.0881062,Haryana
Vodafone,Travelling,3G,5,Satisfactory,28.56081167,77.33584833,Uttar Pradesh
Vodafone,Travelling,3G,5,Satisfactory,28.52949167,77.28829667,Uttar Pradesh
Vodafone,Travelling,Unknown,5,Satisfactory,28.52949167,77.28829667,Uttar Pradesh
Vodafone,Travelling,3G,5,Satisfactory,28.52949167,77.28829667,Uttar Pradesh
Vodafone,Travelling,3G,5,Satisfactory,28.52949167,77.28829667,Uttar Pradesh
Vodafone,Travelling,4G,5,Satisfactory,28.52949167,77.28829667,Uttar Pradesh
Vodafone,Travelling,3G,5,Satisfactory,28.532005,77.28686667,Uttar Pradesh
Vodafone,Travelling,3G,5,Satisfactory,28.54103833,77.29774667,Uttar Pradesh
Vodafone,Travelling,3G,5,Satisfactory,28.542975,77.30303,Uttar Pradesh
Vodafone,Travelling,3G,5,Satisfactory,28.620145,77.38420667,Uttar Pradesh
Vodafone,Travelling,3G,5,Satisfactory,28.620145,77.38420667,Uttar Pradesh
Vodafone,Travelling,3G,5,Satisfactory,28.620145,77.38420667,Uttar Pradesh
Vodafone,Travelling,Unknown,5,Satisfactory,28.620145,77.38420667,Uttar Pradesh
Vodafone,Travelling,3G,5,Satisfactory,28.620145,77.38420667,Uttar Pradesh
Vodafone,Travelling,4G,5,Satisfactory,28.620145,77.38420667,Uttar Pradesh
Vodafone,Travelling,Unknown,5,Satisfactory,28.6197347,77.3838923,Uttar Pradesh
Vodafone,Travelling,4G,5,Satisfactory,28.61835667,77.383185,Uttar Pradesh
Vodafone,Travelling,Unknown,5,Satisfactory,28.60133167,77.37966833,Uttar Pradesh
Vodafone,Travelling,3G,5,Satisfactory,28.57842,77.30916333,Uttar Pradesh
Vodafone,Travelling,4G,5,Satisfactory,28.57753167,77.309135,Uttar Pradesh
Vodafone,Travelling,Unknown,5,Satisfactory,28.60971667,77.33360833,Uttar Pradesh
Vodafone,Travelling,3G,5,Satisfactory,28.60971667,77.33360833,Uttar Pradesh
Vodafone,Travelling,3G,5,Satisfactory,28.5672,77.268925,Uttar Pradesh
Airtel,Indoor,4G,2,Poor Network,22.5489749,88.2855478,West Bengal
Airtel,Indoor,4G,1,Call Dropped,22.5486783,88.2850179,West Bengal
Airtel,Indoor,4G,1,Poor Network,22.5486783,88.2850179,West Bengal
Airtel,Indoor,4G,1,Poor Network,22.5486783,88.2850179,West Bengal
Airtel,Indoor,4G,1,Poor Network,22.5486783,88.2850179,West Bengal
Airtel,Indoor,4G,1,Poor Network,22.5486783,88.2850179,West Bengal
Airtel,Indoor,4G,1,Poor Network,22.5486783,88.2850179,West Bengal
Airtel,Indoor,4G,1,Poor Network,22.5486783,88.2850179,West Bengal
Idea,Indoor,Unknown,3,Satisfactory,19.11377778,72.89553,Maharashtra
RJio,Indoor,4G,4,Satisfactory,23.2943749,77.342672,Madhya Pradesh
RJio,Outdoor,4G,5,Satisfactory,26.78174151,79.01999938,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,26.7823717,79.0149629,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,26.77716374,79.02867131,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,26.77716374,79.02867131,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,26.78174151,79.01999938,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,26.77716374,79.02867131,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,26.78174151,79.01999938,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,26.7489879,79.0801367,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,26.78174151,79.01999938,Uttar Pradesh
MTNL,Outdoor,Unknown,5,Satisfactory,26.78174151,79.01999938,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,26.78174151,79.01999938,Uttar Pradesh
MTNL,Outdoor,Unknown,5,Satisfactory,26.78174151,79.01999938,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,26.7772026,79.0284469,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,26.78245122,79.02701808,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,26.78242957,79.0199982,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,26.78242957,79.0199982,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,26.78242957,79.0199982,Uttar Pradesh
BSNL,Outdoor,Unknown,4,Satisfactory,18.41822317,73.76406021,Maharashtra
Idea,Indoor,Unknown,4,Satisfactory,18.56430177,73.88312292,Maharashtra
Vodafone,Indoor,3G,4,Satisfactory,-1,-1,
RJio,Outdoor,4G,4,Satisfactory,20.67354897,75.35394747,Maharashtra
Vodafone,Indoor,2G,5,Satisfactory,17.72658333,83.30630667,Andhra Pradesh
Airtel,Indoor,Unknown,1,Call Dropped,-1,-1,
BSNL,Indoor,2G,5,Satisfactory,22.5181415,88.3619241,West Bengal
Airtel,Indoor,3G,4,Satisfactory,22.31740458,73.16799316,Gujarat
Airtel,Indoor,3G,4,Satisfactory,22.31740458,73.16799316,Gujarat
Airtel,Travelling,4G,4,Satisfactory,22.3035984,73.16575,Gujarat
Airtel,Indoor,4G,4,Satisfactory,22.31798119,73.16819427,Gujarat
Airtel,Indoor,4G,1,Call Dropped,22.3171768,73.1683102,Gujarat
Airtel,Indoor,4G,4,Satisfactory,22.3171768,73.1683102,Gujarat
Airtel,Indoor,4G,4,Satisfactory,22.3171768,73.1683102,Gujarat
Airtel,Indoor,3G,1,Call Dropped,22.3171768,73.1683102,Gujarat
Airtel,Indoor,3G,4,Satisfactory,22.31798119,73.16819427,Gujarat
Airtel,Indoor,3G,1,Call Dropped,22.3171734,73.1683242,Gujarat
Airtel,Indoor,3G,4,Satisfactory,22.3171784,73.1683151,Gujarat
Airtel,Indoor,3G,3,Poor Network,22.3171768,73.1683102,Gujarat
RJio,Indoor,4G,1,Satisfactory,12.9813368,80.1909984,Tamil Nadu
RJio,Indoor,4G,5,Satisfactory,20.2886904,85.8612581,Odisha
BSNL,Outdoor,Unknown,4,Satisfactory,-1,-1,
RJio,Indoor,4G,2,Poor Network,28.52047707,77.0806315,Haryana
RJio,Indoor,4G,2,Poor Network,28.52047707,77.0806315,Haryana
RJio,Indoor,4G,4,Satisfactory,13.0325866,80.274185,Tamil Nadu
Airtel,Indoor,2G,5,Satisfactory,-1,-1,
Airtel,Indoor,2G,5,Satisfactory,-1,-1,
Airtel,Indoor,2G,5,Satisfactory,-1,-1,
RJio,Travelling,4G,3,Poor Network,17.33971953,78.52343917,Telangana
RJio,Indoor,4G,1,Poor Network,28.5908539,76.9931494,NCT
BSNL,Indoor,Unknown,2,Satisfactory,26.8490164,80.9565234,Uttar Pradesh
Airtel,Outdoor,3G,4,Satisfactory,-1,-1,
RJio,Indoor,4G,1,Poor Network,28.5908539,76.9931494,NCT
RJio,Indoor,4G,2,Poor Network,28.5908539,76.9931494,NCT
RJio,Indoor,4G,1,Poor Network,17.416917,78.4539065,Telangana
RJio,Indoor,4G,5,Satisfactory,20.28727764,85.86102518,Odisha
RJio,Outdoor,4G,4,Satisfactory,-1,-1,
RJio,Indoor,4G,4,Satisfactory,28.674765,77.182195,NCT
RJio,Outdoor,4G,1,Poor Network,20.55285946,85.76662537,Odisha
RJio,Indoor,4G,5,Satisfactory,21.3476024,83.6015089,Odisha
RJio,Indoor,4G,1,Poor Network,22.00954347,81.24077777,Chhattisgarh
RJio,Outdoor,4G,1,Poor Network,20.55285946,85.76662537,Odisha
RJio,Outdoor,4G,1,Poor Network,20.54263651,85.80211222,Odisha
RJio,Indoor,4G,2,Poor Network,28.56810026,76.9997508,Haryana
Idea,Indoor,4G,1,Poor Network,-1,-1,
Idea,Outdoor,4G,5,Satisfactory,-1,-1,
Idea,Outdoor,3G,3,Satisfactory,18.48206272,73.82670905,Maharashtra
Idea,Outdoor,3G,3,Poor Network,18.4819889,73.8299586,Maharashtra
RJio,Indoor,4G,1,Poor Network,28.56810026,76.9997508,Haryana
RJio,Outdoor,4G,1,Poor Network,20.54263651,85.80211222,Odisha
RJio,Outdoor,4G,1,Poor Network,22.552475,88.12514667,West Bengal
RJio,Indoor,4G,1,Call Dropped,22.55244667,88.12507667,West Bengal
RJio,Indoor,4G,1,Call Dropped,22.55234,88.124325,West Bengal
RJio,Outdoor,4G,1,Call Dropped,22.55234,88.124325,West Bengal
Airtel,Indoor,4G,1,Satisfactory,26.8396643,89.3854195,Chhukha
Vodafone,Indoor,Unknown,3,Satisfactory,13.01054775,77.66815369,Karnataka
Vodafone,Indoor,Unknown,3,Satisfactory,13.0104681,77.6681555,Karnataka
RJio,Outdoor,4G,1,Poor Network,20.54263651,85.80211222,Odisha
Airtel,Indoor,4G,3,Satisfactory,12.88791458,77.55568963,Karnataka
Airtel,Outdoor,3G,3,Poor Network,12.3034019,76.6308046,Karnataka
BSNL,Travelling,2G,4,Satisfactory,-1,-1,
RJio,Indoor,4G,4,Satisfactory,28.67506333,77.18139833,NCT
Vodafone,Travelling,3G,4,Satisfactory,27.1819758,77.7587281,Uttar Pradesh
Vodafone,Indoor,3G,5,Satisfactory,28.52380851,77.15037733,NCT
Airtel,Indoor,4G,5,Satisfactory,-1,-1,
Idea,Indoor,3G,4,Satisfactory,18.66987623,73.79552362,Maharashtra
RJio,Indoor,4G,1,Poor Network,23.03593825,72.62898929,Gujarat
RJio,Outdoor,4G,1,Poor Network,20.49437801,85.91989405,Odisha
RJio,Indoor,4G,3,Satisfactory,19.04536616,72.86366399,Maharashtra
Vodafone,Indoor,3G,4,Satisfactory,8.49709092,76.98091054,Kerala
RJio,Outdoor,4G,4,Satisfactory,21.05676046,75.8304413,Maharashtra
Vodafone,Indoor,Unknown,5,Satisfactory,-1,-1,
Vodafone,Indoor,Unknown,5,Satisfactory,-1,-1,
Vodafone,Indoor,Unknown,5,Satisfactory,-1,-1,
Vodafone,Indoor,Unknown,5,Satisfactory,-1,-1,
Vodafone,Indoor,3G,4,Satisfactory,8.49709092,76.98091054,Kerala
Vodafone,Outdoor,Unknown,3,Satisfactory,-1,-1,
RJio,Outdoor,4G,1,Poor Network,20.46091178,85.90222971,Odisha
RJio,Indoor,4G,4,Satisfactory,28.67506333,77.18139833,NCT
RJio,Indoor,4G,3,Poor Network,28.67506333,77.18139833,NCT
RJio,Indoor,4G,3,Poor Network,28.67506333,77.18139833,NCT
RJio,Outdoor,4G,4,Satisfactory,28.67506333,77.18139833,NCT
Idea,Indoor,Unknown,4,Satisfactory,18.51964074,73.85640743,Maharashtra
RJio,Outdoor,4G,4,Satisfactory,28.674765,77.182195,NCT
RJio,Indoor,4G,3,Poor Network,28.674765,77.182195,NCT
RJio,Indoor,4G,3,Poor Network,28.67561,77.18316667,NCT
RJio,Indoor,4G,3,Poor Network,28.67495333,77.18137,NCT
RJio,Outdoor,4G,4,Satisfactory,28.6766807,77.182207,NCT
RJio,Outdoor,4G,4,Satisfactory,28.6751029,77.183204,NCT
RJio,Outdoor,4G,4,Satisfactory,28.6763257,77.1834347,NCT
RJio,Outdoor,4G,4,Satisfactory,28.6766807,77.182207,NCT
RJio,Indoor,4G,5,Satisfactory,20.28727,85.8611122,Odisha
RJio,Indoor,4G,3,Satisfactory,17.43641241,78.37384966,Telangana
RJio,Outdoor,4G,2,Call Dropped,-1,-1,
Idea,Indoor,Unknown,4,Satisfactory,18.51964074,73.85640743,Maharashtra
Airtel,Indoor,3G,4,Satisfactory,23.2332,77.40244017,Madhya Pradesh
BSNL,Indoor,3G,4,Satisfactory,-1,-1,
RJio,Indoor,4G,1,Call Dropped,22.552495,88.12515167,West Bengal
Vodafone,Travelling,4G,2,Call Dropped,28.74156,77.12000333,NCT
Vodafone,Indoor,3G,2,Poor Network,12.93277451,77.5844977,Karnataka
Vodafone,Indoor,3G,3,Poor Network,12.9363975,77.58725079,Karnataka
Vodafone,Indoor,3G,3,Poor Network,12.9363975,77.58725079,Karnataka
Vodafone,Indoor,3G,3,Satisfactory,12.9363975,77.58725079,Karnataka
Vodafone,Outdoor,4G,4,Satisfactory,13.0022815,77.5696013,Karnataka
Vodafone,Outdoor,4G,4,Satisfactory,13.0022953,77.5696088,Karnataka
Airtel,Indoor,Unknown,1,Poor Network,28.580922,77.1514995,NCT
Airtel,Indoor,3G,5,Satisfactory,28.5809058,77.1514713,NCT
Airtel,Travelling,4G,2,Call Dropped,28.580922,77.1514995,NCT
Airtel,Indoor,Unknown,5,Satisfactory,28.5809232,77.1514928,NCT
Airtel,Travelling,3G,5,Satisfactory,28.51568991,77.10006014,Haryana
Airtel,Travelling,Unknown,4,Satisfactory,28.51568991,77.10006014,Haryana
Airtel,Travelling,3G,5,Satisfactory,28.51568991,77.10006014,Haryana
Airtel,Indoor,4G,3,Call Dropped,28.5809296,77.1514888,NCT
Airtel,Indoor,3G,1,Poor Network,28.58049471,77.1512612,NCT
Vodafone,Outdoor,3G,4,Satisfactory,13.0022834,77.5695872,Karnataka
Vodafone,Indoor,3G,3,Poor Network,12.99649984,77.5638433,Karnataka
Vodafone,Indoor,4G,5,Satisfactory,-1,-1,
Vodafone,Indoor,3G,3,Poor Network,12.99649984,77.5638433,Karnataka
Vodafone,Indoor,3G,4,Satisfactory,12.99649984,77.5638433,Karnataka
Vodafone,Indoor,3G,4,Satisfactory,12.99649984,77.5638433,Karnataka
Vodafone,Indoor,3G,3,Poor Network,12.9364808,77.5872904,Karnataka
Vodafone,Indoor,3G,3,Poor Network,12.9365303,77.5873099,Karnataka
Vodafone,Indoor,3G,3,Poor Network,12.9365193,77.5873106,Karnataka
BSNL,Indoor,4G,1,Poor Network,22.75565044,86.18645742,Jharkhand
Vodafone,Indoor,3G,3,Poor Network,12.9366063,77.5873397,Karnataka
RJio,Indoor,4G,1,Poor Network,-1,-1,
RJio,Indoor,4G,1,Poor Network,-1,-1,
RJio,Indoor,4G,1,Poor Network,-1,-1,
RJio,Indoor,4G,1,Poor Network,-1,-1,
RJio,Indoor,4G,1,Poor Network,-1,-1,
RJio,Indoor,4G,1,Poor Network,-1,-1,
RJio,Indoor,4G,1,Poor Network,-1,-1,
RJio,Indoor,4G,1,Poor Network,-1,-1,
RJio,Indoor,4G,1,Poor Network,-1,-1,
RJio,Indoor,4G,1,Poor Network,-1,-1,
RJio,Indoor,4G,1,Poor Network,-1,-1,
RJio,Outdoor,4G,1,Poor Network,-1,-1,
RJio,Outdoor,4G,4,Satisfactory,-1,-1,
Airtel,Indoor,4G,1,Satisfactory,28.58049471,77.1512612,NCT
Vodafone,Indoor,3G,4,Satisfactory,8.49709092,76.98091054,Kerala
BSNL,Outdoor,Unknown,4,Satisfactory,22.01121833,81.233135,Chhattisgarh
Airtel,Indoor,3G,3,Satisfactory,-1,-1,
Airtel,Indoor,3G,1,Call Dropped,-1,-1,
RJio,Indoor,4G,3,Poor Network,-1,-1,
RJio,Indoor,4G,3,Poor Network,-1,-1,
Airtel,Indoor,3G,4,Satisfactory,-1,-1,
Airtel,Indoor,3G,4,Satisfactory,-1,-1,
Airtel,Outdoor,3G,3,Poor Network,-1,-1,
RJio,Indoor,4G,4,Satisfactory,-1,-1,
BSNL,Indoor,Unknown,4,Satisfactory,27.7211631,79.6528461,Uttar Pradesh
Vodafone,Indoor,Unknown,5,Satisfactory,-1,-1,
Airtel,Outdoor,3G,5,Satisfactory,11.24608833,75.80619167,Kerala
RJio,Indoor,4G,5,Satisfactory,-1,-1,
BSNL,Travelling,Unknown,3,Satisfactory,18.44121828,73.7882794,Maharashtra
Idea,Travelling,3G,4,Satisfactory,21.14512818,72.80160273,Gujarat
RJio,Indoor,4G,4,Satisfactory,28.94251875,77.7188244,Uttar Pradesh
BSNL,Outdoor,3G,3,Poor Network,13.06084732,77.58806411,Karnataka
Airtel,Indoor,3G,1,Poor Network,-1,-1,
RJio,Indoor,Unknown,1,Call Dropped,28.7209403,77.2132248,NCT
RJio,Indoor,Unknown,1,Call Dropped,28.7209096,77.2134223,NCT
RJio,Indoor,Unknown,1,Call Dropped,28.7209096,77.2134223,NCT
RJio,Indoor,Unknown,1,Call Dropped,28.7209442,77.2132315,NCT
RJio,Indoor,Unknown,1,Call Dropped,28.7209577,77.2131629,NCT
Airtel,Travelling,Unknown,5,Satisfactory,11.24608833,75.80619167,Kerala
Vodafone,Indoor,3G,1,Call Dropped,-1,-1,
Vodafone,Indoor,Unknown,1,Call Dropped,-1,-1,
Vodafone,Indoor,3G,1,Call Dropped,-1,-1,
Vodafone,Indoor,3G,1,Call Dropped,-1,-1,
Vodafone,Indoor,3G,1,Call Dropped,-1,-1,
RJio,Travelling,4G,4,Satisfactory,19.17048506,77.30721985,Maharashtra
RJio,Indoor,4G,4,Satisfactory,19.1659787,77.3155384,Maharashtra
RJio,Indoor,4G,4,Satisfactory,19.16599442,77.31560122,Maharashtra
RJio,Indoor,4G,4,Satisfactory,19.17042056,77.30726673,Maharashtra
Idea,Indoor,Unknown,4,Satisfactory,19.16638548,77.31271097,Maharashtra
Idea,Indoor,Unknown,4,Satisfactory,19.17036604,77.30704297,Maharashtra
BSNL,Indoor,2G,2,Satisfactory,11.7629083,76.00274701,Kerala
Vodafone,Indoor,Unknown,4,Satisfactory,22.33382894,73.21652084,Gujarat
RJio,Indoor,4G,1,Call Dropped,12.9813317,80.1910229,Tamil Nadu
BSNL,Indoor,Unknown,1,Call Dropped,12.9813317,80.1910229,Tamil Nadu
RJio,Indoor,4G,1,Call Dropped,12.9813368,80.1909984,Tamil Nadu
Airtel,Indoor,3G,4,Satisfactory,12.8249535,77.6841903,Karnataka
RJio,Indoor,4G,1,Poor Network,22.55243,88.12520167,West Bengal
Airtel,Indoor,Unknown,3,Satisfactory,28.6364202,77.2313696,NCT
RJio,Outdoor,4G,1,Poor Network,22.55243,88.12520167,West Bengal
Vodafone,Outdoor,3G,4,Satisfactory,12.86723877,77.61948698,Karnataka
Vodafone,Travelling,Unknown,4,Satisfactory,22.35000312,73.22894722,Gujarat
Idea,Outdoor,3G,5,Satisfactory,10.12968957,76.36839151,Kerala
Idea,Outdoor,4G,5,Satisfactory,10.12968957,76.36839151,Kerala
BSNL,Indoor,3G,2,Poor Network,30.71380773,76.70957056,Punjab
BSNL,Indoor,2G,5,Satisfactory,24.73327161,92.78814172,Assam
RJio,Indoor,4G,4,Satisfactory,17.4753304,78.3882454,Telangana
BSNL,Indoor,3G,4,Satisfactory,-1,-1,
BSNL,Indoor,2G,2,Satisfactory,11.7629083,76.00274701,Kerala
Idea,Indoor,Unknown,4,Satisfactory,18.51964074,73.85640743,Maharashtra
Airtel,Indoor,4G,4,Satisfactory,28.686225,77.3019883,Uttar Pradesh
RJio,Indoor,Unknown,5,Satisfactory,17.49294272,78.39540175,Telangana
RJio,Indoor,Unknown,5,Satisfactory,17.49294272,78.39540175,Telangana
RJio,Indoor,4G,5,Satisfactory,17.495711,78.3953662,Telangana
RJio,Outdoor,4G,4,Satisfactory,26.30713666,86.74898528,Bihar
RJio,Indoor,4G,3,Poor Network,26.30667949,86.7488282,Bihar
RJio,Indoor,4G,3,Poor Network,26.30676465,86.74884118,Bihar
RJio,Indoor,4G,4,Satisfactory,12.93063292,77.58643513,Karnataka
Vodafone,Travelling,4G,4,Satisfactory,27.2140995,78.0736717,Uttar Pradesh
Airtel,Outdoor,Unknown,5,Satisfactory,11.24608833,75.80619167,Kerala
Idea,Indoor,Unknown,4,Satisfactory,18.51964965,73.85629969,Maharashtra
Vodafone,Indoor,Unknown,4,Satisfactory,12.3323955,76.6320736,Karnataka
Idea,Indoor,Unknown,2,Satisfactory,20.0266154,85.34521182,Odisha
RJio,Outdoor,4G,1,Poor Network,20.26900239,85.84907829,Odisha
Airtel,Travelling,Unknown,1,Call Dropped,26.75043535,79.22166311,Uttar Pradesh
RJio,Indoor,4G,3,Satisfactory,19.04536616,72.86366399,Maharashtra
Airtel,Indoor,Unknown,5,Satisfactory,11.24608833,75.80619167,Kerala
RJio,Indoor,4G,4,Satisfactory,28.94251875,77.7188244,Uttar Pradesh
RJio,Indoor,4G,4,Satisfactory,19.04536616,72.86366399,Maharashtra
Airtel,Indoor,Unknown,5,Satisfactory,28.3698369,76.8939673,Haryana
Airtel,Indoor,3G,5,Satisfactory,28.3697195,76.893888,Haryana
RJio,Indoor,4G,3,Satisfactory,19.04536616,72.86366399,Maharashtra
RJio,Indoor,4G,5,Satisfactory,20.28565357,85.86134148,Odisha
Airtel,Indoor,Unknown,2,Call Dropped,25.50888037,83.21367214,Uttar Pradesh
BSNL,Outdoor,2G,5,Satisfactory,20.24056835,85.77002762,Odisha
BSNL,Travelling,Unknown,3,Call Dropped,11.87385333,75.52730333,Kerala
Idea,Outdoor,3G,3,Satisfactory,10.04117337,77.173679,Kerala
RJio,Indoor,4G,3,Satisfactory,19.04536616,72.86366399,Maharashtra
Vodafone,Indoor,3G,5,Satisfactory,28.58495057,77.2117424,NCT
Vodafone,Travelling,3G,5,Satisfactory,28.58495057,77.2117424,NCT
Vodafone,Indoor,3G,5,Satisfactory,28.58495057,77.2117424,NCT
Vodafone,Indoor,3G,5,Satisfactory,28.55601195,77.17773128,NCT
Vodafone,Indoor,3G,5,Satisfactory,28.55601195,77.17773128,NCT
Vodafone,Indoor,3G,5,Satisfactory,28.55601195,77.17773128,NCT
Vodafone,Indoor,4G,5,Satisfactory,28.55597381,77.17612856,NCT
Vodafone,Outdoor,3G,5,Satisfactory,28.55658461,77.17687808,NCT
Vodafone,Outdoor,3G,5,Satisfactory,28.55654055,77.17715761,NCT
Vodafone,Indoor,3G,4,Satisfactory,28.5560424,77.17599212,NCT
Vodafone,Indoor,3G,4,Satisfactory,28.5560424,77.17599212,NCT
Vodafone,Indoor,3G,4,Satisfactory,28.5560424,77.17599212,NCT
Vodafone,Indoor,3G,4,Satisfactory,28.5560424,77.17599212,NCT
Vodafone,Indoor,3G,5,Satisfactory,28.5560424,77.17599212,NCT
